accident_id,location_id,location_name,latitude,longitude,accident_date,accident_time,day_of_week,weather_condition,road_type,traffic_density,vehicle_type,accident_severity,num_casualties
2544,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-07-25,20:14:00,Tuesday,Rainy,Main Road,Low,Car,Fatal,2
2564,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-04-27,22:24:00,Thursday,Rainy,Residential Road,Low,Two-Wheeler,Minor,0
2569,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-09-27,17:50:00,Friday,Clear,Chowk/Intersection,Low,Auto-Rickshaw,Minor,1
2588,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-06-05,19:57:00,Monday,Clear,Highway,Low,Car,Minor,0
2638,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-10-05,06:34:00,Tuesday,Clear,Highway,Low,Two-Wheeler,Serious,1
2688,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-08-31,20:07:00,Wednesday,Clear,Chowk/Intersection,High,Car,Minor,1
2736,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-30,18:32:00,Monday,Clear,Main Road,Medium,Truck,Minor,0
2749,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-06-07,08:02:00,Friday,Rainy,Main Road,Medium,Two-Wheeler,Minor,1
2756,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-01-31,17:00:00,Wednesday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,1
2826,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-05-10,20:09:00,Monday,Clear,Main Road,Low,Two-Wheeler,Minor,0
2837,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-02-24,08:34:00,Monday,Rainy,Chowk/Intersection,High,Two-Wheeler,Serious,2
2910,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-03-15,17:20:00,Tuesday,Foggy,Chowk/Intersection,Medium,Truck,Minor,0
2925,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-06-08,08:15:00,Sunday,Rainy,Main Road,Medium,Car,Minor,0
2933,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-09-24,09:52:00,Wednesday,Rainy,Chowk/Intersection,Medium,Truck,Serious,1
2991,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-06-19,22:29:00,Monday,Rainy,Chowk/Intersection,Medium,Bus,Fatal,2
3044,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-11-11,17:14:00,Thursday,Clear,Main Road,Low,Auto-Rickshaw,Serious,1
3142,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-05-31,07:20:00,Saturday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,0
3171,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-06-20,18:27:00,Sunday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,1
3205,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-11-14,07:58:00,Tuesday,Clear,Highway,Low,Bus,Fatal,1
3208,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-05-12,19:54:00,Wednesday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0
3212,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-06-20,09:34:00,Thursday,Rainy,Highway,Low,Bus,Serious,2
3314,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-08-08,10:14:00,Monday,Stormy,Chowk/Intersection,Medium,Auto-Rickshaw,Minor,0
3330,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-01-14,18:39:00,Saturday,Clear,Highway,Low,Two-Wheeler,Minor,0
3374,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-01-19,08:00:00,Sunday,Foggy,Main Road,Medium,Two-Wheeler,Minor,1
3407,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-05-03,19:02:00,Monday,Rainy,Highway,Medium,Two-Wheeler,Serious,3
3462,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-06-26,08:26:00,Saturday,Clear,Main Road,Medium,Two-Wheeler,Minor,0
3518,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-03-30,18:49:00,Thursday,Foggy,Main Road,Low,Car,Serious,2
3625,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-23,07:09:00,Thursday,Clear,Residential Road,High,Bus,Minor,1
3656,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-10-21,07:02:00,Friday,Clear,Residential Road,Medium,Two-Wheeler,Minor,1
3713,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-03-19,19:47:00,Sunday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,0
3740,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-09,16:25:00,Thursday,Clear,Main Road,High,Auto-Rickshaw,Serious,1
3767,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-09-28,17:27:00,Sunday,Clear,Main Road,Medium,Auto-Rickshaw,Serious,1
3802,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-08-16,07:31:00,Wednesday,Rainy,Highway,Low,Two-Wheeler,Minor,0
3845,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-08-17,09:50:00,Saturday,Rainy,Main Road,High,Two-Wheeler,Serious,3
3868,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-18,19:52:00,Wednesday,Clear,Chowk/Intersection,High,Bus,Serious,2
3954,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-03-03,17:22:00,Thursday,Rainy,Chowk/Intersection,High,Two-Wheeler,Minor,1
3967,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-04-27,20:34:00,Wednesday,Rainy,Chowk/Intersection,Low,Two-Wheeler,Fatal,2
4034,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-10-07,08:51:00,Monday,Clear,Main Road,Medium,Two-Wheeler,Serious,1
4072,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-24,09:28:00,Tuesday,Clear,Highway,Low,Two-Wheeler,Serious,2
4102,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-18,16:28:00,Saturday,Rainy,Residential Road,High,Two-Wheeler,Minor,0
4143,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-07-23,17:08:00,Wednesday,Foggy,Highway,High,Auto-Rickshaw,Serious,3
4153,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-12-11,11:17:00,Sunday,Rainy,Main Road,High,Two-Wheeler,Minor,0
4209,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-08-23,16:39:00,Wednesday,Clear,Residential Road,Medium,Bus,Minor,0
4261,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-02-11,07:45:00,Sunday,Stormy,Residential Road,Medium,Car,Fatal,1
4300,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-11-01,19:10:00,Wednesday,Clear,Chowk/Intersection,Low,Two-Wheeler,Serious,1
4311,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-01-31,20:26:00,Sunday,Clear,Chowk/Intersection,Medium,Bus,Minor,0
4325,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-11-27,10:28:00,Sunday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,0
4351,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-04-14,18:49:00,Thursday,Clear,Residential Road,Low,Car,Serious,2
4356,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-06-05,10:20:00,Monday,Rainy,Chowk/Intersection,Low,Two-Wheeler,Minor,1
4360,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-02-09,08:02:00,Thursday,Clear,Highway,High,Two-Wheeler,Minor,0
4364,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-07-20,11:19:00,Tuesday,Clear,Chowk/Intersection,Medium,Auto-Rickshaw,Minor,0
4392,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-11-17,09:41:00,Thursday,Foggy,Residential Road,High,Two-Wheeler,Minor,1
4452,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-07-05,10:02:00,Saturday,Clear,Main Road,High,Two-Wheeler,Minor,0
4498,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-03-31,19:50:00,Wednesday,Foggy,Chowk/Intersection,High,Two-Wheeler,Minor,1
4502,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-08-22,14:14:00,Tuesday,Clear,Highway,Low,Two-Wheeler,Minor,0
4602,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-06-03,16:15:00,Saturday,Clear,Chowk/Intersection,High,Auto-Rickshaw,Minor,0
4643,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-03-19,08:59:00,Wednesday,Rainy,Chowk/Intersection,Low,Two-Wheeler,Serious,1
4688,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-05-01,18:04:00,Monday,Clear,Chowk/Intersection,Medium,Car,Serious,1
4707,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-13,09:14:00,Monday,Clear,Highway,Low,Car,Minor,0
4711,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-01-27,19:22:00,Monday,Clear,Highway,Medium,Car,Fatal,2
4721,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-02-11,18:36:00,Friday,Clear,Residential Road,High,Truck,Minor,1
4731,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-20,18:39:00,Friday,Stormy,Main Road,Medium,Auto-Rickshaw,Fatal,1
4737,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-07-26,15:40:00,Saturday,Foggy,Highway,Medium,Two-Wheeler,Minor,0
4751,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-02-02,17:49:00,Sunday,Rainy,Highway,Low,Two-Wheeler,Minor,1
4839,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-01-12,18:27:00,Wednesday,Clear,Main Road,Medium,Truck,Minor,0
4938,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-07-09,20:19:00,Sunday,Clear,Chowk/Intersection,Medium,Auto-Rickshaw,Serious,2
5010,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-08-22,19:30:00,Tuesday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,0
5011,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-03-08,19:43:00,Wednesday,Clear,Main Road,Low,Auto-Rickshaw,Minor,0
5021,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-11-10,09:03:00,Friday,Clear,Main Road,Medium,Two-Wheeler,Minor,0
5028,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-06-18,17:01:00,Friday,Rainy,Highway,Medium,Bus,Serious,2
5033,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-07-14,19:03:00,Sunday,Clear,Highway,High,Two-Wheeler,Minor,1
5085,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-04-15,19:16:00,Monday,Stormy,Chowk/Intersection,Medium,Two-Wheeler,Serious,1
5103,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-05-09,20:48:00,Monday,Clear,Highway,High,Auto-Rickshaw,Serious,2
5124,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-11-01,06:52:00,Monday,Clear,Highway,Low,Auto-Rickshaw,Serious,1
5229,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-05-11,17:27:00,Tuesday,Foggy,Highway,Medium,Car,Minor,1
5246,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-01-28,07:34:00,Friday,Clear,Main Road,Low,Two-Wheeler,Fatal,2
5277,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-08-27,18:23:00,Wednesday,Rainy,Chowk/Intersection,High,Two-Wheeler,Minor,0
5356,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-05-20,08:53:00,Thursday,Clear,Highway,High,Car,Fatal,1
5396,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-02-01,19:37:00,Monday,Clear,Residential Road,Low,Two-Wheeler,Serious,1
5425,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-01-29,20:41:00,Friday,Clear,Main Road,Low,Two-Wheeler,Serious,2
5432,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-06-24,10:58:00,Thursday,Clear,Chowk/Intersection,High,Car,Serious,1
5501,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-04-28,19:24:00,Thursday,Rainy,Main Road,Medium,Auto-Rickshaw,Minor,1
5601,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-09-12,09:56:00,Monday,Clear,Chowk/Intersection,Medium,Auto-Rickshaw,Minor,0
5603,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-05,07:33:00,Thursday,Stormy,Residential Road,High,Bus,Minor,0
5625,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-05-10,10:26:00,Tuesday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,1
5716,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-06-24,08:20:00,Saturday,Foggy,Main Road,Low,Two-Wheeler,Fatal,1
5729,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-04-12,17:54:00,Tuesday,Clear,Residential Road,Medium,Car,Minor,0
5741,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-04-12,18:00:00,Wednesday,Clear,Main Road,Medium,Car,Serious,3
5880,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-09-03,17:18:00,Friday,Clear,Main Road,Low,Car,Minor,0
5910,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-12-22,17:39:00,Sunday,Rainy,Highway,High,Two-Wheeler,Serious,3
5967,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-01-16,16:12:00,Monday,Foggy,Highway,Medium,Two-Wheeler,Fatal,2
5968,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-01-07,21:26:00,Thursday,Clear,Chowk/Intersection,Low,Two-Wheeler,Minor,0
6022,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-12-10,18:45:00,Friday,Clear,Main Road,Medium,Two-Wheeler,Minor,1
6053,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-09-18,10:04:00,Saturday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0
6095,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-05-05,09:03:00,Friday,Clear,Chowk/Intersection,Low,Truck,Minor,0
6231,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-01-06,10:26:00,Monday,Clear,Chowk/Intersection,Low,Auto-Rickshaw,Minor,0
6236,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-07-07,10:06:00,Wednesday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0
6251,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-26,11:13:00,Sunday,Rainy,Main Road,High,Truck,Serious,2
6305,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-01-19,08:59:00,Thursday,Rainy,Main Road,Low,Two-Wheeler,Minor,0
6355,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-11-03,06:44:00,Thursday,Clear,Residential Road,High,Bus,Minor,0
6404,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-02-11,17:18:00,Tuesday,Foggy,Chowk/Intersection,High,Auto-Rickshaw,Minor,1
6454,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-10-18,18:33:00,Saturday,Foggy,Chowk/Intersection,Medium,Two-Wheeler,Minor,0
6530,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-05-14,18:46:00,Saturday,Clear,Chowk/Intersection,Medium,Car,Serious,2
6621,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-03-19,18:15:00,Tuesday,Foggy,Main Road,Medium,Two-Wheeler,Serious,2
6635,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-07-07,08:34:00,Thursday,Rainy,Residential Road,High,Car,Minor,0
6736,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-02-01,15:39:00,Saturday,Clear,Main Road,High,Two-Wheeler,Serious,2
6753,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-04-17,09:01:00,Sunday,Foggy,Chowk/Intersection,Low,Truck,Serious,1
6755,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-04-29,08:06:00,Friday,Clear,Main Road,Medium,Car,Minor,0
6768,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-10-18,10:01:00,Monday,Rainy,Residential Road,Medium,Two-Wheeler,Serious,1
6780,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-09-18,07:32:00,Thursday,Clear,Main Road,Medium,Two-Wheeler,Minor,1
6808,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-05-13,07:59:00,Friday,Clear,Chowk/Intersection,High,Car,Fatal,1
6842,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-04-15,20:19:00,Thursday,Rainy,Main Road,High,Car,Minor,0
6915,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-03-06,09:26:00,Wednesday,Clear,Main Road,High,Car,Minor,0
6939,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-10-18,10:04:00,Wednesday,Rainy,Main Road,Low,Two-Wheeler,Minor,0
6967,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-02-25,17:03:00,Saturday,Clear,Main Road,Medium,Two-Wheeler,Fatal,3
7105,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-04-11,17:27:00,Thursday,Clear,Chowk/Intersection,Medium,Auto-Rickshaw,Minor,0
7116,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-10-19,17:30:00,Sunday,Clear,Main Road,Medium,Car,Minor,1
7133,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-01-17,18:41:00,Friday,Clear,Residential Road,High,Two-Wheeler,Minor,0
