accident_id,location_id,location_name,latitude,longitude,accident_date,accident_time,day_of_week,weather_condition,road_type,traffic_density,vehicle_type,accident_severity,num_casualties,hour,is_weekend,time_of_day,is_rush_hour,month,year,is_adverse_weather
1658,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-04-17,16:03:00,Saturday,Foggy,Main Road,Medium,Auto-Rickshaw,Minor,0,16,True,Afternoon,False,4,2021,True
1722,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-01-06,20:09:00,Monday,Clear,Highway,High,Auto-Rickshaw,Serious,2,20,False,Evening,True,1,2025,False
1739,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-06,18:26:00,Friday,Clear,Residential Road,Low,Truck,Serious,1,18,False,Evening,True,8,2021,False
1808,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-02-27,19:34:00,Saturday,Stormy,Main Road,High,Two-Wheeler,Serious,2,19,True,Evening,True,2,2021,True
1837,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-02-23,19:06:00,Thursday,Clear,Highway,Medium,Two-Wheeler,Serious,1,19,False,Evening,True,2,2023,False
1875,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-07,16:37:00,Tuesday,Rainy,Main Road,Low,Two-Wheeler,Minor,0,16,False,Afternoon,False,5,2024,True
1962,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-01-22,08:57:00,Friday,Clear,Main Road,Medium,Two-Wheeler,Fatal,1,8,False,Morning,True,1,2021,False
1963,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-09-06,17:21:00,Saturday,Clear,Chowk/Intersection,High,Car,Serious,2,17,True,Evening,True,9,2025,False
1979,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-06-16,16:06:00,Monday,Foggy,Residential Road,Low,Two-Wheeler,Fatal,2,16,False,Afternoon,False,6,2025,True
2051,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-04-24,09:14:00,Thursday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0,9,False,Morning,True,4,2025,False
2113,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-11-11,18:07:00,Saturday,Rainy,Main Road,Medium,Car,Minor,0,18,True,Evening,True,11,2023,True
2121,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-02-18,15:46:00,Tuesday,Clear,Main Road,High,Auto-Rickshaw,Serious,2,15,False,Afternoon,False,2,2025,False
2123,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-05-19,09:19:00,Monday,Clear,Chowk/Intersection,Low,Car,Fatal,3,9,False,Morning,True,5,2025,False
2127,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-03-28,08:39:00,Tuesday,Foggy,Highway,High,Two-Wheeler,Fatal,2,8,False,Morning,True,3,2023,True
2154,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-04-07,18:52:00,Wednesday,Clear,Main Road,Low,Two-Wheeler,Serious,2,18,False,Evening,True,4,2021,False
2222,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-08-04,09:45:00,Sunday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,1,9,True,Morning,True,8,2024,False
2231,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-12-09,21:13:00,Monday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,0,21,False,Night,False,12,2024,False
2331,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-01-25,10:27:00,Saturday,Foggy,Main Road,Medium,Car,Minor,0,10,True,Morning,True,1,2025,True
2343,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-01-10,09:46:00,Tuesday,Clear,Highway,High,Two-Wheeler,Serious,2,9,False,Morning,True,1,2023,False
2376,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-03-12,08:18:00,Wednesday,Foggy,Chowk/Intersection,High,Two-Wheeler,Minor,0,8,False,Morning,True,3,2025,True
2427,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-02-14,17:26:00,Tuesday,Clear,Residential Road,High,Car,Serious,2,17,False,Evening,True,2,2023,False
2517,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-10-18,10:58:00,Friday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,0,10,False,Morning,True,10,2024,False
2544,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-07-25,20:14:00,Tuesday,Rainy,Main Road,Low,Car,Fatal,2,20,False,Evening,True,7,2023,True
2564,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-04-27,22:24:00,Thursday,Rainy,Residential Road,Low,Two-Wheeler,Minor,0,22,False,Night,False,4,2023,True
2569,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-09-27,17:50:00,Friday,Clear,Chowk/Intersection,Low,Auto-Rickshaw,Minor,1,17,False,Evening,True,9,2024,False
2588,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-06-05,19:57:00,Monday,Clear,Highway,Low,Car,Minor,0,19,False,Evening,True,6,2023,False
2638,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-10-05,06:34:00,Tuesday,Clear,Highway,Low,Two-Wheeler,Serious,1,6,False,Morning,False,10,2021,False
2688,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-08-31,20:07:00,Wednesday,Clear,Chowk/Intersection,High,Car,Minor,1,20,False,Evening,True,8,2022,False
2736,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-30,18:32:00,Monday,Clear,Main Road,Medium,Truck,Minor,0,18,False,Evening,True,8,2021,False
2749,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-06-07,08:02:00,Friday,Rainy,Main Road,Medium,Two-Wheeler,Minor,1,8,False,Morning,True,6,2024,True
2756,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-01-31,17:00:00,Wednesday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,1,17,False,Evening,True,1,2024,False
2826,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-05-10,20:09:00,Monday,Clear,Main Road,Low,Two-Wheeler,Minor,0,20,False,Evening,True,5,2021,False
2837,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-02-24,08:34:00,Monday,Rainy,Chowk/Intersection,High,Two-Wheeler,Serious,2,8,False,Morning,True,2,2025,True
2910,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-03-15,17:20:00,Tuesday,Foggy,Chowk/Intersection,Medium,Truck,Minor,0,17,False,Evening,True,3,2022,True
2925,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-06-08,08:15:00,Sunday,Rainy,Main Road,Medium,Car,Minor,0,8,True,Morning,True,6,2025,True
2933,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-09-24,09:52:00,Wednesday,Rainy,Chowk/Intersection,Medium,Truck,Serious,1,9,False,Morning,True,9,2025,True
2991,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-06-19,22:29:00,Monday,Rainy,Chowk/Intersection,Medium,Bus,Fatal,2,22,False,Night,False,6,2023,True
3044,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-11-11,17:14:00,Thursday,Clear,Main Road,Low,Auto-Rickshaw,Serious,1,17,False,Evening,True,11,2021,False
3142,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-05-31,07:20:00,Saturday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,0,7,True,Morning,False,5,2025,False
3171,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-06-20,18:27:00,Sunday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,1,18,True,Evening,True,6,2021,False
3205,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-11-14,07:58:00,Tuesday,Clear,Highway,Low,Bus,Fatal,1,7,False,Morning,False,11,2023,False
3208,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-05-12,19:54:00,Wednesday,Clear,Chowk/Intersection,Medium,Two-Wheeler,Minor,0,19,False,Evening,True,5,2021,False
3212,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-06-20,09:34:00,Thursday,Rainy,Highway,Low,Bus,Serious,2,9,False,Morning,True,6,2024,True
3314,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-08-08,10:14:00,Monday,Stormy,Chowk/Intersection,Medium,Auto-Rickshaw,Minor,0,10,False,Morning,True,8,2022,True
3330,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-01-14,18:39:00,Saturday,Clear,Highway,Low,Two-Wheeler,Minor,0,18,True,Evening,True,1,2023,False
3374,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-01-19,08:00:00,Sunday,Foggy,Main Road,Medium,Two-Wheeler,Minor,1,8,True,Morning,True,1,2025,True
3407,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-05-03,19:02:00,Monday,Rainy,Highway,Medium,Two-Wheeler,Serious,3,19,False,Evening,True,5,2021,True
3462,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-06-26,08:26:00,Saturday,Clear,Main Road,Medium,Two-Wheeler,Minor,0,8,True,Morning,True,6,2021,False
3518,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-03-30,18:49:00,Thursday,Foggy,Main Road,Low,Car,Serious,2,18,False,Evening,True,3,2023,True
3625,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-23,07:09:00,Thursday,Clear,Residential Road,High,Bus,Minor,1,7,False,Morning,False,5,2024,False
3656,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-10-21,07:02:00,Friday,Clear,Residential Road,Medium,Two-Wheeler,Minor,1,7,False,Morning,False,10,2022,False
3713,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-03-19,19:47:00,Sunday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,0,19,True,Evening,True,3,2023,False
3740,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-09,16:25:00,Thursday,Clear,Main Road,High,Auto-Rickshaw,Serious,1,16,False,Afternoon,False,5,2024,False
3767,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-09-28,17:27:00,Sunday,Clear,Main Road,Medium,Auto-Rickshaw,Serious,1,17,True,Evening,True,9,2025,False
3802,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-08-16,07:31:00,Wednesday,Rainy,Highway,Low,Two-Wheeler,Minor,0,7,False,Morning,False,8,2023,True
3845,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-08-17,09:50:00,Saturday,Rainy,Main Road,High,Two-Wheeler,Serious,3,9,True,Morning,True,8,2024,True
3868,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-18,19:52:00,Wednesday,Clear,Chowk/Intersection,High,Bus,Serious,2,19,False,Evening,True,8,2021,False
3954,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-03-03,17:22:00,Thursday,Rainy,Chowk/Intersection,High,Two-Wheeler,Minor,1,17,False,Evening,True,3,2022,True
3967,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-04-27,20:34:00,Wednesday,Rainy,Chowk/Intersection,Low,Two-Wheeler,Fatal,2,20,False,Evening,True,4,2022,True
4034,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-10-07,08:51:00,Monday,Clear,Main Road,Medium,Two-Wheeler,Serious,1,8,False,Morning,True,10,2024,False
4072,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-24,09:28:00,Tuesday,Clear,Highway,Low,Two-Wheeler,Serious,2,9,False,Morning,True,8,2021,False
4102,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-18,16:28:00,Saturday,Rainy,Residential Road,High,Two-Wheeler,Minor,0,16,True,Afternoon,False,5,2024,True
4143,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-07-23,17:08:00,Wednesday,Foggy,Highway,High,Auto-Rickshaw,Serious,3,17,False,Evening,True,7,2025,True
4153,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-12-11,11:17:00,Sunday,Rainy,Main Road,High,Two-Wheeler,Minor,0,11,True,Morning,False,12,2022,True
4209,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-08-23,16:39:00,Wednesday,Clear,Residential Road,Medium,Bus,Minor,0,16,False,Afternoon,False,8,2023,False
4261,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-02-11,07:45:00,Sunday,Stormy,Residential Road,Medium,Car,Fatal,1,7,True,Morning,False,2,2024,True
4300,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-11-01,19:10:00,Wednesday,Clear,Chowk/Intersection,Low,Two-Wheeler,Serious,1,19,False,Evening,True,11,2023,False
4311,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-01-31,20:26:00,Sunday,Clear,Chowk/Intersection,Medium,Bus,Minor,0,20,True,Evening,True,1,2021,False
4325,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-11-27,10:28:00,Sunday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,0,10,True,Morning,True,11,2022,False
4351,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-04-14,18:49:00,Thursday,Clear,Residential Road,Low,Car,Serious,2,18,False,Evening,True,4,2022,False
4356,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-06-05,10:20:00,Monday,Rainy,Chowk/Intersection,Low,Two-Wheeler,Minor,1,10,False,Morning,True,6,2023,True
4360,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-02-09,08:02:00,Thursday,Clear,Highway,High,Two-Wheeler,Minor,0,8,False,Morning,True,2,2023,False
4364,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-07-20,11:19:00,Tuesday,Clear,Chowk/Intersection,Medium,Auto-Rickshaw,Minor,0,11,False,Morning,False,7,2021,False
4392,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-11-17,09:41:00,Thursday,Foggy,Residential Road,High,Two-Wheeler,Minor,1,9,False,Morning,True,11,2022,True
4452,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-07-05,10:02:00,Saturday,Clear,Main Road,High,Two-Wheeler,Minor,0,10,True,Morning,True,7,2025,False
4498,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-03-31,19:50:00,Wednesday,Foggy,Chowk/Intersection,High,Two-Wheeler,Minor,1,19,False,Evening,True,3,2021,True
4502,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-08-22,14:14:00,Tuesday,Clear,Highway,Low,Two-Wheeler,Minor,0,14,False,Afternoon,False,8,2023,False
4602,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-06-03,16:15:00,Saturday,Clear,Chowk/Intersection,High,Auto-Rickshaw,Minor,0,16,True,Afternoon,False,6,2023,False
4643,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-03-19,08:59:00,Wednesday,Rainy,Chowk/Intersection,Low,Two-Wheeler,Serious,1,8,False,Morning,True,3,2025,True
4688,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-05-01,18:04:00,Monday,Clear,Chowk/Intersection,Medium,Car,Serious,1,18,False,Evening,True,5,2023,False
4707,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-05-13,09:14:00,Monday,Clear,Highway,Low,Car,Minor,0,9,False,Morning,True,5,2024,False
4711,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-01-27,19:22:00,Monday,Clear,Highway,Medium,Car,Fatal,2,19,False,Evening,True,1,2025,False
4721,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-02-11,18:36:00,Friday,Clear,Residential Road,High,Truck,Minor,1,18,False,Evening,True,2,2022,False
4731,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-08-20,18:39:00,Friday,Stormy,Main Road,Medium,Auto-Rickshaw,Fatal,1,18,False,Evening,True,8,2021,True
4737,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-07-26,15:40:00,Saturday,Foggy,Highway,Medium,Two-Wheeler,Minor,0,15,True,Afternoon,False,7,2025,True
4751,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-02-02,17:49:00,Sunday,Rainy,Highway,Low,Two-Wheeler,Minor,1,17,True,Evening,True,2,2025,True
4839,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-01-12,18:27:00,Wednesday,Clear,Main Road,Medium,Truck,Minor,0,18,False,Evening,True,1,2022,False
4938,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-07-09,20:19:00,Sunday,Clear,Chowk/Intersection,Medium,Auto-Rickshaw,Serious,2,20,True,Evening,True,7,2023,False
5010,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-08-22,19:30:00,Tuesday,Clear,Chowk/Intersection,High,Two-Wheeler,Minor,0,19,False,Evening,True,8,2023,False
5011,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-03-08,19:43:00,Wednesday,Clear,Main Road,Low,Auto-Rickshaw,Minor,0,19,False,Evening,True,3,2023,False
5021,1,Albert Ekka Chowk,23.3701968,85.3249027,2023-11-10,09:03:00,Friday,Clear,Main Road,Medium,Two-Wheeler,Minor,0,9,False,Morning,True,11,2023,False
5028,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-06-18,17:01:00,Friday,Rainy,Highway,Medium,Bus,Serious,2,17,False,Evening,True,6,2021,True
5033,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-07-14,19:03:00,Sunday,Clear,Highway,High,Two-Wheeler,Minor,1,19,True,Evening,True,7,2024,False
5085,1,Albert Ekka Chowk,23.3701968,85.3249027,2024-04-15,19:16:00,Monday,Stormy,Chowk/Intersection,Medium,Two-Wheeler,Serious,1,19,False,Evening,True,4,2024,True
5103,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-05-09,20:48:00,Monday,Clear,Highway,High,Auto-Rickshaw,Serious,2,20,False,Evening,True,5,2022,False
5124,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-11-01,06:52:00,Monday,Clear,Highway,Low,Auto-Rickshaw,Serious,1,6,False,Morning,False,11,2021,False
5229,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-05-11,17:27:00,Tuesday,Foggy,Highway,Medium,Car,Minor,1,17,False,Evening,True,5,2021,True
5246,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-01-28,07:34:00,Friday,Clear,Main Road,Low,Two-Wheeler,Fatal,2,7,False,Morning,False,1,2022,False
5277,1,Albert Ekka Chowk,23.3701968,85.3249027,2025-08-27,18:23:00,Wednesday,Rainy,Chowk/Intersection,High,Two-Wheeler,Minor,0,18,False,Evening,True,8,2025,True
5356,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-05-20,08:53:00,Thursday,Clear,Highway,High,Car,Fatal,1,8,False,Morning,True,5,2021,False
5396,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-02-01,19:37:00,Monday,Clear,Residential Road,Low,Two-Wheeler,Serious,1,19,False,Evening,True,2,2021,False
5425,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-01-29,20:41:00,Friday,Clear,Main Road,Low,Two-Wheeler,Serious,2,20,False,Evening,True,1,2021,False
5432,1,Albert Ekka Chowk,23.3701968,85.3249027,2021-06-24,10:58:00,Thursday,Clear,Chowk/Intersection,High,Car,Serious,1,10,False,Morning,True,6,2021,False
5501,1,Albert Ekka Chowk,23.3701968,85.3249027,2022-04-28,19:24:00,Thursday,Rainy,Main Road,Medium,Auto-Rickshaw,Minor,1,19,False,Evening,True,4,2022,True
